cheque_id,customer_id,amount_cad,debit_credit,transaction_date
CHE00000000000000000,SYNCID0000000000,415.24,debit,2022-11-08
CHE00000000000000001,SYNCID0000000002,564.95,debit,2023-01-16
CHE00000000000000002,SYNCID0000000002,573.46,debit,2023-01-16
CHE00000000000000003,SYNCID0000000002,3771.6,debit,2022-11-25
CHE00000000000000004,SYNCID0000000002,1661.76,credit,2023-01-24
CHE00000000000000005,SYNCID0000000002,72621.39,debit,2022-12-19
CHE00000000000000006,SYNCID0000000002,1597.38,credit,2022-11-16
CHE00000000000000007,SYNCID0000000002,406.7,debit,2023-01-11
CHE00000000000000008,SYNCID0000000002,434.57,credit,2022-11-14
CHE00000000000000009,SYNCID0000000002,985.27,credit,2022-12-15
CHE00000000000000010,SYNCID0000000002,2466.84,debit,2022-12-29
CHE00000000000000011,SYNCID0000000002,226.67,credit,2023-01-03
CHE00000000000000012,SYNCID0000000002,1069.74,credit,2022-11-01
CHE00000000000000013,SYNCID0000000002,321.3,credit,2023-01-03
CHE00000000000000014,SYNCID0000000002,2937.8,debit,2023-01-16
CHE00000000000000015,SYNCID0000000002,77716.16,credit,2022-11-07
CHE00000000000000016,SYNCID0000000002,8137.34,debit,2022-12-06
CHE00000000000000017,SYNCID0000000002,6806.59,debit,2022-11-14
CHE00000000000000018,SYNCID0000000002,535.71,debit,2022-12-19
CHE00000000000000019,SYNCID0000000002,1738.09,debit,2022-12-21
CHE00000000000000020,SYNCID0000000002,1740.28,credit,2022-11-25
CHE00000000000000021,SYNCID0000000002,1283.8,credit,2023-01-27
CHE00000000000000022,SYNCID0000000002,2186.16,credit,2022-11-10
CHE00000000000000023,SYNCID0000000002,1127.94,debit,2022-11-07
CHE00000000000000024,SYNCID0000000002,5296.11,credit,2023-01-06
CHE00000000000000025,SYNCID0000000002,2503.42,credit,2022-11-14
CHE00000000000000026,SYNCID0000000002,1609.53,debit,2022-12-06
CHE00000000000000027,SYNCID0000000002,2506.0,debit,2022-11-24
CHE00000000000000028,SYNCID0000000006,3071.24,debit,2023-01-11
CHE00000000000000029,SYNCID0000000006,141466.98,credit,2022-12-09
CHE00000000000000030,SYNCID0000000006,3047.98,debit,2022-11-30
CHE00000000000000031,SYNCID0000000007,75.4,credit,2022-11-17
CHE00000000000000032,SYNCID0000000007,5271.05,debit,2022-11-24
CHE00000000000000033,SYNCID0000000007,323.44,credit,2022-11-03
CHE00000000000000034,SYNCID0000000007,34161.08,debit,2022-12-28
CHE00000000000000035,SYNCID0000000007,596.66,credit,2022-11-07
CHE00000000000000036,SYNCID0000000007,4147.15,debit,2023-01-30
CHE00000000000000037,SYNCID0000000007,1558.28,debit,2022-11-08
CHE00000000000000038,SYNCID0000000007,440.37,credit,2022-12-15
CHE00000000000000039,SYNCID0000000007,200.13,credit,2022-12-16
CHE00000000000000040,SYNCID0000000007,128.75,credit,2022-11-25
CHE00000000000000041,SYNCID0000000007,31696.44,credit,2022-11-28
CHE00000000000000042,SYNCID0000000007,308.66,debit,2022-12-07
CHE00000000000000043,SYNCID0000000007,13041.7,debit,2022-12-05
CHE00000000000000044,SYNCID0000000007,176.26,debit,2023-01-12
CHE00000000000000045,SYNCID0000000007,756.81,credit,2022-12-16
CHE00000000000000046,SYNCID0000000007,1975.13,debit,2022-11-21
CHE00000000000000047,SYNCID0000000007,10264.34,debit,2023-01-30
CHE00000000000000048,SYNCID0000000007,106.71,debit,2022-12-01
CHE00000000000000049,SYNCID0000000007,12704.28,debit,2022-11-24
CHE00000000000000050,SYNCID0000000007,200.17,credit,2023-01-19
CHE00000000000000051,SYNCID0000000007,185.26,debit,2022-12-31
CHE00000000000000052,SYNCID0000000007,72.24,credit,2022-12-13
CHE00000000000000053,SYNCID0000000007,2181.92,debit,2022-12-12
CHE00000000000000054,SYNCID0000000007,389.66,debit,2022-11-25
CHE00000000000000055,SYNCID0000000007,1131.03,credit,2022-11-25
CHE00000000000000056,SYNCID0000000007,273.91,credit,2023-01-16
CHE00000000000000057,SYNCID0000000008,1784.25,credit,2022-11-29
CHE00000000000000058,SYNCID0000000008,10847.88,credit,2022-12-08
CHE00000000000000059,SYNCID0000000008,47.08,credit,2023-01-16
CHE00000000000000060,SYNCID0000000008,1093.01,credit,2023-01-27
CHE00000000000000061,SYNCID0000000008,249.73,credit,2022-12-05
CHE00000000000000062,SYNCID0000000008,1582.04,debit,2022-11-22
CHE00000000000000063,SYNCID0000000008,2465.7,credit,2022-11-10
CHE00000000000000064,SYNCID0000000008,212.71,credit,2023-01-23
CHE00000000000000065,SYNCID0000000008,653.13,credit,2022-12-29
CHE00000000000000066,SYNCID0000000009,263.54,credit,2022-12-23
CHE00000000000000067,SYNCID0000000009,441.26,credit,2022-11-14
CHE00000000000000068,SYNCID0000000009,4551.18,credit,2022-11-02
CHE00000000000000069,SYNCID0000000009,301.6,credit,2023-01-05
CHE00000000000000070,SYNCID0000000009,2438.37,credit,2022-12-20
CHE00000000000000071,SYNCID0000000009,1197.67,credit,2022-11-08
CHE00000000000000072,SYNCID0000000009,1018.38,debit,2023-01-20
CHE00000000000000073,SYNCID0000000009,545.66,debit,2022-12-29
CHE00000000000000074,SYNCID0000000009,678.77,debit,2023-01-09
CHE00000000000000075,SYNCID0000000009,508.25,debit,2023-01-10
CHE00000000000000076,SYNCID0000000009,224.91,credit,2022-12-28
CHE00000000000000077,SYNCID0000000009,423.34,credit,2022-11-18
CHE00000000000000078,SYNCID0000000009,8520.35,credit,2022-11-17
CHE00000000000000079,SYNCID0000000009,1008.04,credit,2022-11-08
CHE00000000000000080,SYNCID0000000009,1699.28,credit,2023-01-09
CHE00000000000000081,SYNCID0000000009,594.68,credit,2022-12-08
CHE00000000000000082,SYNCID0000000009,887.46,debit,2022-12-05
CHE00000000000000083,SYNCID0000000009,81.13,debit,2022-11-17
CHE00000000000000084,SYNCID0000000009,1069.2,debit,2022-11-10
CHE00000000000000085,SYNCID0000000009,2191.19,credit,2023-01-04
CHE00000000000000086,SYNCID0000000009,519.82,credit,2023-01-10
CHE00000000000000087,SYNCID0000000009,12055.15,debit,2023-01-27
CHE00000000000000088,SYNCID0000000009,2972.19,debit,2022-11-30
CHE00000000000000089,SYNCID0000000009,9004.99,debit,2023-01-06
CHE00000000000000090,SYNCID0000000009,291.82,credit,2023-01-12
CHE00000000000000091,SYNCID0000000009,411.95,debit,2022-11-07
CHE00000000000000092,SYNCID0000000009,2681.95,debit,2023-01-20
CHE00000000000000093,SYNCID0000000009,697.51,credit,2023-01-04
CHE00000000000000094,SYNCID0000000009,383.72,debit,2022-12-28
CHE00000000000000095,SYNCID0000000010,626.81,debit,2022-12-22
CHE00000000000000096,SYNCID0000000010,1387.76,debit,2022-12-06
CHE00000000000000097,SYNCID0000000010,1006.74,credit,2023-01-05
CHE00000000000000098,SYNCID0000000010,14.4,debit,2022-12-19
CHE00000000000000099,SYNCID0000000010,356.12,debit,2023-01-19
CHE00000000000000100,SYNCID0000000010,587.09,debit,2022-11-23
CHE00000000000000101,SYNCID0000000010,181.17,debit,2022-11-17
CHE00000000000000102,SYNCID0000000010,1063.77,debit,2022-11-07
CHE00000000000000103,SYNCID0000000010,867.37,debit,2022-12-13
CHE00000000000000104,SYNCID0000000010,1967.0,debit,2022-12-30
CHE00000000000000105,SYNCID0000000010,2161.97,debit,2023-01-19
CHE00000000000000106,SYNCID0000000010,129.05,credit,2022-12-29
CHE00000000000000107,SYNCID0000000010,1124.12,debit,2022-12-07
CHE00000000000000108,SYNCID0000000011,1785.33,debit,2022-12-21
CHE00000000000000109,SYNCID0000000011,493.81,debit,2022-11-29
CHE00000000000000110,SYNCID0000000011,1102.98,debit,2022-12-09
CHE00000000000000111,SYNCID0000000011,81.91,credit,2023-01-12
CHE00000000000000112,SYNCID0000000011,4157.02,debit,2022-11-21
CHE00000000000000113,SYNCID0000000011,275.46,debit,2022-11-29
CHE00000000000000114,SYNCID0000000011,645.61,debit,2022-11-29
CHE00000000000000115,SYNCID0000000011,1336.99,debit,2022-11-30
CHE00000000000000116,SYNCID0000000011,237.71,debit,2022-12-09
CHE00000000000000117,SYNCID0000000011,162.08,credit,2023-01-31
CHE00000000000000118,SYNCID0000000011,915.52,debit,2023-01-06
CHE00000000000000119,SYNCID0000000011,790.56,debit,2023-01-26
CHE00000000000000120,SYNCID0000000011,344.03,debit,2022-11-23
CHE00000000000000121,SYNCID0000000011,1634.8,debit,2022-12-13
CHE00000000000000122,SYNCID0000000011,27665.9,debit,2022-12-15
CHE00000000000000123,SYNCID0000000011,8644.36,debit,2022-11-18
CHE00000000000000124,SYNCID0000000011,332.45,debit,2023-01-20
CHE00000000000000125,SYNCID0000000011,1068.97,debit,2022-12-30
CHE00000000000000126,SYNCID0000000011,1595.86,debit,2022-11-28
CHE00000000000000127,SYNCID0000000011,984.93,debit,2023-01-13
CHE00000000000000128,SYNCID0000000011,2041.48,credit,2023-01-05
CHE00000000000000129,SYNCID0000000011,2023.69,debit,2022-12-20
CHE00000000000000130,SYNCID0000000011,968.89,debit,2023-01-11
CHE00000000000000131,SYNCID0000000011,535.73,debit,2022-11-10
CHE00000000000000132,SYNCID0000000011,2398.34,debit,2023-01-06
CHE00000000000000133,SYNCID0000000011,2039.46,debit,2023-01-31
CHE00000000000000134,SYNCID0000000011,17082.73,debit,2022-11-14
CHE00000000000000135,SYNCID0000000011,961.61,debit,2023-01-05
CHE00000000000000136,SYNCID0000000011,3225.86,debit,2022-12-08
CHE00000000000000137,SYNCID0000000011,4275.82,debit,2022-12-02
CHE00000000000000138,SYNCID0000000011,527.41,debit,2023-01-20
CHE00000000000000139,SYNCID0000000011,3173.86,debit,2022-11-03
CHE00000000000000140,SYNCID0000000011,1312.99,debit,2023-01-06
