customer_id,country,province,city,industry_code,employee_count,sales,established_date,onboard_date,industry,total_amount,avg_amount,transaction_count,unique_transaction_types,debit_count,credit_count,max_transaction,min_transaction,embedding,anomaly_score,nearest_neighbors
SYNCID0000000000,CA,ON,NORTH YORK,7292,0.0,0.0,2019-06-22,2022-05-02,"Estate, Trust and Agency Funds",6731.3099999999995,2243.77,3.0,2.0,2.0,1.0,6316.04,0.03,"[0.31322932 0.8795475  5.283576   1.4650576  6.3587255  1.6583428
 2.1840978  1.0869594  6.654039   2.7147532  5.174533   3.4028053
 3.6721666  5.3341227  1.6205938  3.795016  ]",1,[    0 13493  2595 13039  9984]
SYNCID0000000001,CA,ON,NORTH YORK,nan,0.0,66446.0,2009-07-21,2009-08-21,0,291.39,72.8475,4.0,1.0,4.0,0.0,213.4,1.72,"[0.        2.4908047 4.9175134 1.0166438 3.7262976 4.1107745 2.8861022
 0.3086267 6.6867533 4.316249  3.6076229 5.186239  1.2028998 4.752588
 3.7154994 4.971472 ]",1,[    1  8635  9217  2426 12991]
SYNCID0000000002,CA,ON,KITCHENER,7721,2.0,0.0,2022-04-11,2022-09-14,Computer Services,202826.56,7512.0948148148145,27.0,1.0,14.0,13.0,77716.16,226.67,"[3.3151808  0.82659566 4.7374125  1.9566777  1.3768948  2.0775936
 2.0572376  0.         7.501243   3.104988   2.4975994  2.593769
 3.8961134  3.8896842  3.1960015  3.4223268 ]",1,[    2 13949  7328  1085 13722]
SYNCID0000000004,CA,0,other,4565,1.0,328160.0,2020-11-16,2022-12-08,Forest Products Trucking Industry,16339.980000000001,371.36318181818183,44.0,1.0,41.0,3.0,9179.35,-236.07,"[2.8296728 7.016501  1.7299664 1.5834465 6.6440086 5.7658634 3.0483074
 1.2924963 2.1249847 3.5418224 2.722918  2.9955056 1.4598095 4.8140817
 2.7891388 2.9283502]",1,[    3 10061  3171 10195  9593]
SYNCID0000000005,CA,BC,VICTORIA,7799,1.0,0.0,2022-01-21,2023-01-01,Other Business Services n.e.c.,165250.47,3305.0094,50.0,1.0,15.0,35.0,60607.55,2.14,"[2.9654992 3.128921  0.        2.9026458 1.9569676 3.5331345 1.8158407
 2.9935951 3.479846  1.8900898 3.1673517 2.6438296 4.7680864 3.980905
 5.852901  4.9998217]",1,[   4 9972 8084 5641 5014]
SYNCID0000000006,CA,BC,other,7761,0.0,0.0,2009-11-05,0,Offices of Lawyers and Notaries,147586.2,49195.4,3.0,1.0,2.0,1.0,141466.98,3047.98,"[6.835373   3.6963632  1.0663043  0.73848766 5.779661   8.366423
 0.05923748 3.6155884  3.826466   3.5727153  2.0290737  2.0191507
 3.286443   2.6741982  4.262986   3.0958967 ]",1,[    5 13977 12590 10636 11783]
SYNCID0000000007,CA,BC,PENTICTON,7292,1.0,33642.0,1987-05-29,2018-09-24,"Estate, Trust and Agency Funds",135635.79,2768.0773469387755,49.0,4.0,35.0,13.0,34161.08,-168.66,"[4.216243   0.01862764 2.811885   3.459123   5.23448    3.0889764
 2.8452144  4.8794227  1.8607614  0.8427819  3.8891635  2.9765372
 5.4899306  4.2575088  4.6531386  3.4526594 ]",1,[    6  6678 10010 11502  9792]
SYNCID0000000008,CA,0,other,9659,0.0,0.0,1992-10-07,1992-01-08,Other Sports and Recreation Clubs,18935.53,2103.9477777777774,9.0,1.0,1.0,8.0,10847.88,47.08,"[2.3422093 6.9163303 0.9447316 2.3414304 6.5079794 5.633538  2.3639119
 1.687399  2.102594  2.8046641 2.209294  2.586461  1.1654935 4.723686
 2.6522517 2.5490763]",1,[    7 15386  2862  1271  2960]
SYNCID0000000009,CA,QC,MONTREAL,8653,1.0,73595.0,2012-07-01,2019-01-21,"Offices of Dentists, General Practice",100961.15,1364.3398648648647,74.0,3.0,47.0,27.0,12807.84,-17.55,"[3.438104   6.6023164  5.770095   2.3904655  0.714859   4.519872
 9.0374775  3.9692457  5.4172034  3.7368846  0.44324982 0.83758724
 5.551016   7.145268   2.8630948  2.600311  ]",1,[    8  9509  7800 13351 11376]
SYNCID0000000010,CA,ON,TORONTO,7511,0.0,0.0,2007-08-27,2008-04-26,Operators of Residential Buildings and Dwellings,22091.64,690.36375,32.0,2.0,22.0,10.0,3459.9,2.1,"[2.0992959  5.5598655  6.8344774  1.3967388  2.3509007  3.312603
 0.48128593 5.7708406  6.092215   5.6532207  3.3284712  2.7697291
 5.1292105  5.8572574  0.75463396 1.1699443 ]",1,[    9 11306 13704  9516  8674]
