emt_id,customer_id,amount_cad,debit_credit,transaction_date,transaction_time
EMT00000000000000213,SYNCID0000000007,513.46,C,2022-11-15,14:14:07
EMT00000000000000214,SYNCID0000000019,631.11,D,2023-01-04,15:10:21
EMT00000000000000215,SYNCID0000000019,5281.87,D,2022-12-29,14:11:32
EMT00000000000000216,SYNCID0000000019,209.17,C,2022-12-11,17:13:30
EMT00000000000000217,SYNCID0000000019,948.98,D,2023-01-01,19:17:51
EMT00000000000000218,SYNCID0000000022,31.84,C,2022-12-02,22:12:33
EMT00000000000000219,SYNCID0000000022,167.22,D,2023-01-14,16:22:51
EMT00000000000000220,SYNCID0000000022,747.93,C,2022-11-09,19:11:54
EMT00000000000000221,SYNCID0000000022,78.03,C,2022-12-08,10:36:39
EMT00000000000000222,SYNCID0000000022,216.08,C,2022-12-16,01:23:28
EMT00000000000000223,SYNCID0000000022,21.67,C,2022-11-15,16:08:38
EMT00000000000000224,SYNCID0000000022,32.95,C,2022-11-10,23:45:39
EMT00000000000000225,SYNCID0000000022,70.21,C,2022-11-27,18:25:01
EMT00000000000000226,SYNCID0000000022,138.75,D,2023-01-19,22:28:57
EMT00000000000000227,SYNCID0000000022,1689.11,C,2022-11-07,04:11:37
EMT00000000000000228,SYNCID0000000022,240.28,D,2022-11-03,18:12:32
EMT00000000000000229,SYNCID0000000022,253.29,C,2022-12-15,19:35:56
EMT00000000000000230,SYNCID0000000022,213.65,D,2022-11-23,16:52:53
EMT00000000000000231,SYNCID0000000022,1042.09,C,2022-12-09,13:00:11
EMT00000000000000232,SYNCID0000000022,37.24,D,2022-11-07,04:21:19
EMT00000000000000233,SYNCID0000000022,786.2,C,2022-12-28,12:46:44
EMT00000000000000234,SYNCID0000000022,338.12,C,2022-12-11,00:15:51
EMT00000000000000235,SYNCID0000000022,1754.45,C,2022-12-02,15:41:50
EMT00000000000000236,SYNCID0000000022,194.25,C,2022-11-14,17:50:02
EMT00000000000000237,SYNCID0000000022,1164.34,D,2023-01-12,21:15:44
EMT00000000000000238,SYNCID0000000022,21.21,D,2022-11-05,19:13:52
EMT00000000000000239,SYNCID0000000022,20.62,C,2022-12-29,15:28:25
EMT00000000000000240,SYNCID0000000022,1037.42,C,2022-12-14,12:45:26
EMT00000000000000241,SYNCID0000000022,125.17,C,2022-12-31,17:20:50
EMT00000000000000242,SYNCID0000000022,86.94,C,2022-12-12,21:41:30
EMT00000000000000243,SYNCID0000000022,937.0,C,2022-11-11,19:25:38
EMT00000000000000244,SYNCID0000000022,53.23,C,2022-11-17,22:05:39
EMT00000000000000245,SYNCID0000000022,21.41,C,2022-12-03,13:45:31
EMT00000000000000246,SYNCID0000000022,157.0,C,2022-12-15,02:12:23
EMT00000000000000247,SYNCID0000000022,53.47,D,2022-11-13,18:44:00
EMT00000000000000248,SYNCID0000000022,472.69,C,2022-11-02,12:37:32
EMT00000000000000249,SYNCID0000000022,59.86,C,2022-11-14,16:47:48
EMT00000000000000250,SYNCID0000000022,209.88,C,2022-12-16,08:50:16
EMT00000000000000251,SYNCID0000000022,15.18,C,2022-12-06,16:50:35
EMT00000000000000252,SYNCID0000000022,404.23,C,2022-12-09,13:50:51
EMT00000000000000253,SYNCID0000000022,163.71,C,2022-11-07,20:52:21
EMT00000000000000254,SYNCID0000000022,10.37,C,2022-11-18,14:38:53
EMT00000000000000255,SYNCID0000000022,54.15,C,2022-11-03,23:20:23
EMT00000000000000256,SYNCID0000000022,21.78,C,2022-12-01,14:49:47
EMT00000000000000257,SYNCID0000000022,11.84,C,2022-12-30,14:03:32
EMT00000000000000258,SYNCID0000000022,10.47,C,2022-12-13,18:03:12
EMT00000000000000259,SYNCID0000000022,1071.41,C,2022-12-21,15:14:12
EMT00000000000000260,SYNCID0000000022,318.66,D,2022-12-31,19:51:00
