customer_id,country,province,city,industry_code,employee_count,sales,established_date,onboard_date,industry,total_amount,avg_amount,transaction_count,unique_transaction_types,debit_count,credit_count,max_transaction,min_transaction,cluster,anomaly_score
SYNCID0000000000,CA,ON,NORTH YORK,7292,0.0,0.0,2019-06-22,2022-05-02,"Estate, Trust and Agency Funds",6731.3099999999995,2243.77,3.0,2.0,2.0,1.0,6316.04,0.03,3,1
SYNCID0000000001,CA,ON,NORTH YORK,nan,0.0,66446.0,2009-07-21,2009-08-21,0,291.39,72.8475,4.0,1.0,4.0,0.0,213.4,1.72,3,1
SYNCID0000000002,CA,ON,KITCHENER,7721,2.0,0.0,2022-04-11,2022-09-14,Computer Services,202826.56,7512.0948148148145,27.0,1.0,14.0,13.0,77716.16,226.67,3,1
SYNCID0000000004,CA,0,other,4565,1.0,328160.0,2020-11-16,2022-12-08,Forest Products Trucking Industry,16339.980000000001,371.36318181818183,44.0,1.0,41.0,3.0,9179.35,-236.07,3,1
SYNCID0000000005,CA,BC,VICTORIA,7799,1.0,0.0,2022-01-21,2023-01-01,Other Business Services n.e.c.,165250.47,3305.0094,50.0,1.0,15.0,35.0,60607.55,2.14,3,1
SYNCID0000000006,CA,BC,other,7761,0.0,0.0,2009-11-05,0,Offices of Lawyers and Notaries,147586.2,49195.4,3.0,1.0,2.0,1.0,141466.98,3047.98,3,1
SYNCID0000000007,CA,BC,PENTICTON,7292,1.0,33642.0,1987-05-29,2018-09-24,"Estate, Trust and Agency Funds",135635.79,2768.0773469387755,49.0,4.0,35.0,13.0,34161.08,-168.66,0,1
SYNCID0000000008,CA,0,other,9659,0.0,0.0,1992-10-07,1992-01-08,Other Sports and Recreation Clubs,18935.53,2103.9477777777774,9.0,1.0,1.0,8.0,10847.88,47.08,3,1
SYNCID0000000009,CA,QC,MONTREAL,8653,1.0,73595.0,2012-07-01,2019-01-21,"Offices of Dentists, General Practice",100961.15,1364.3398648648647,74.0,3.0,47.0,27.0,12807.84,-17.55,0,1
SYNCID0000000010,CA,ON,TORONTO,7511,0.0,0.0,2007-08-27,2008-04-26,Operators of Residential Buildings and Dwellings,22091.64,690.36375,32.0,2.0,22.0,10.0,3459.9,2.1,3,1
SYNCID0000000011,CA,0,other,other,1.0,40498.0,1981-11-03,0,0,395326.05,3017.756106870229,131.0,3.0,114.0,17.0,85465.95,2.56,0,1
SYNCID0000000012,CA,ON,BRAMPTON,4561,1.0,0.0,2019-12-21,0,General Freight Trucking Industry,73167.36,1556.7523404255319,47.0,2.0,41.0,6.0,56411.3,-246.99,3,1
SYNCID0000000013,CA,ON,LONDON,8661,1.0,164853.0,2016-06-20,2016-07-29,Offices of Chiropractors and Osteopaths,2532305.19,8064.666210191082,314.0,3.0,279.0,35.0,1721280.34,-463.62,0,1
SYNCID0000000014,CA,ON,MARKHAM,4275,0.0,0.0,2016-09-14,0,Painting and Decorating Work,119552.16999999998,1475.9527160493826,81.0,3.0,60.0,21.0,66908.87,-164.98,0,1
SYNCID0000000015,CA,ON,TORONTO,7771,1.0,411312.0,2019-08-04,0,Management Consulting Services,321885.0,21459.0,15.0,1.0,10.0,5.0,312788.86,0.66,3,1
SYNCID0000000016,CA,ON,TRENTON,6312,1.0,0.0,2012-12-27,2012-03-12,Automobile (Used) Dealers,27761.14,3470.1425,8.0,2.0,3.0,5.0,22442.3,17.19,3,1
SYNCID0000000017,CA,0,other,9931,0.0,0.0,1995-04-08,1995-08-09,Photographers,17520.07,8760.035,2.0,1.0,2.0,0.0,16323.85,1196.22,3,1
SYNCID0000000018,CA,0,other,7799,2.0,0.0,2023-10-20,2023-11-15,Other Business Services n.e.c.,219207.40000000002,5219.22380952381,42.0,1.0,39.0,3.0,193408.79,-61.06,3,1
SYNCID0000000019,CA,BC,COQUITLAM,0112,1.0,214530.0,2021-07-06,0,0,843550.48,6439.316641221374,131.0,4.0,99.0,28.0,600016.68,0.0,0,1
SYNCID0000000021,CA,ON,WINDSOR,other,0.0,0.0,2008-01-19,2018-11-08,0,99555.09,5530.838333333333,18.0,2.0,5.0,13.0,64359.41,0.21,3,1
SYNCID0000000022,CA,ON,KEMPTVILLE,9811,0.0,0.0,1996-04-09,0,Religious Organizations,92509.51,848.7111009174312,109.0,4.0,45.0,13.0,25850.35,0.0,0,1
SYNCID0000000023,CA,NS,SYDNEY,6011,1.0,1.0,2018-10-08,2018-12-30,Food (Groceries) Stores,41434.95,828.699,50.0,3.0,44.0,2.0,25866.59,0.0,0,1
SYNCID0000000024,CA,ON,MIDLAND,7292,3.0,0.0,2014-04-09,2015-07-18,"Estate, Trust and Agency Funds",4010.24,501.28,8.0,1.0,6.0,2.0,977.53,105.28,3,1
